Date,"Production, KWh"
01/01/1990 00:00,0
01/01/1990 01:00,0
01/01/1990 02:00,0
01/01/1990 03:00,0
01/01/1990 04:00,0
01/01/1990 05:00,0
01/01/1990 06:00,0
01/01/1990 07:00,0
01/01/1990 08:00,-0.5
01/01/1990 09:00,310.87
01/01/1990 10:00,683.36
01/01/1990 11:00,882.05
01/01/1990 12:00,977.08
01/01/1990 13:00,637.36
01/01/1990 14:00,242.64
01/01/1990 15:00,-0.5
01/01/1990 16:00,0
01/01/1990 17:00,0
01/01/1990 18:00,0
01/01/1990 19:00,0
01/01/1990 20:00,0
01/01/1990 21:00,0
01/01/1990 22:00,0
01/01/1990 23:00,0
02/01/1990 00:00,0
02/01/1990 01:00,0
02/01/1990 02:00,0
02/01/1990 03:00,0
02/01/1990 04:00,0
02/01/1990 05:00,0
02/01/1990 06:00,0
02/01/1990 07:00,0
02/01/1990 08:00,-0.5
02/01/1990 09:00,284.55
02/01/1990 10:00,537.96
02/01/1990 11:00,731.8
02/01/1990 12:00,748.64
02/01/1990 13:00,550.63
02/01/1990 14:00,200.45
02/01/1990 15:00,-0.5
02/01/1990 16:00,0
02/01/1990 17:00,0
02/01/1990 18:00,0
02/01/1990 19:00,0
02/01/1990 20:00,0
02/01/1990 21:00,0
02/01/1990 22:00,0
02/01/1990 23:00,0
03/01/1990 00:00,0
03/01/1990 01:00,0
03/01/1990 02:00,0
03/01/1990 03:00,0
03/01/1990 04:00,0
03/01/1990 05:00,0
03/01/1990 06:00,0
03/01/1990 07:00,0
03/01/1990 08:00,-0.5
03/01/1990 09:00,369.07
03/01/1990 10:00,555.19
03/01/1990 11:00,782.95
03/01/1990 12:00,672.6
03/01/1990 13:00,474.5
03/01/1990 14:00,121.62
03/01/1990 15:00,-0.5
03/01/1990 16:00,0
03/01/1990 17:00,0
03/01/1990 18:00,0
03/01/1990 19:00,0
03/01/1990 20:00,0
03/01/1990 21:00,0
03/01/1990 22:00,0
03/01/1990 23:00,0
04/01/1990 00:00,0
04/01/1990 01:00,0
04/01/1990 02:00,0
04/01/1990 03:00,0
04/01/1990 04:00,0
04/01/1990 05:00,0
04/01/1990 06:00,0
04/01/1990 07:00,0
04/01/1990 08:00,-0.5
04/01/1990 09:00,925.02
04/01/1990 10:00,666.81
04/01/1990 11:00,665.79
04/01/1990 12:00,1912
04/01/1990 13:00,596.03
04/01/1990 14:00,1070.3
04/01/1990 15:00,48.9
04/01/1990 16:00,0
04/01/1990 17:00,0
04/01/1990 18:00,0
04/01/1990 19:00,0
04/01/1990 20:00,0
04/01/1990 21:00,0
04/01/1990 22:00,0
04/01/1990 23:00,0
05/01/1990 00:00,0
05/01/1990 01:00,0
05/01/1990 02:00,0
05/01/1990 03:00,0
05/01/1990 04:00,0
05/01/1990 05:00,0
05/01/1990 06:00,0
05/01/1990 07:00,0
05/01/1990 08:00,-0.5
05/01/1990 09:00,1576.8
05/01/1990 10:00,2419.6
05/01/1990 11:00,3489.8
05/01/1990 12:00,3807.9
05/01/1990 13:00,3566.9
05/01/1990 14:00,1958.4
05/01/1990 15:00,-0.5
05/01/1990 16:00,0
05/01/1990 17:00,0
05/01/1990 18:00,0
05/01/1990 19:00,0
05/01/1990 20:00,0
05/01/1990 21:00,0
05/01/1990 22:00,0
05/01/1990 23:00,0
06/01/1990 00:00,0
06/01/1990 01:00,0
06/01/1990 02:00,0
06/01/1990 03:00,0
06/01/1990 04:00,0
06/01/1990 05:00,0
06/01/1990 06:00,0
06/01/1990 07:00,0
06/01/1990 08:00,-0.5
06/01/1990 09:00,154.77
06/01/1990 10:00,316.77
06/01/1990 11:00,381.91
06/01/1990 12:00,378.38
06/01/1990 13:00,3208
06/01/1990 14:00,2054
06/01/1990 15:00,40.205
06/01/1990 16:00,0
06/01/1990 17:00,0
06/01/1990 18:00,0
06/01/1990 19:00,0
06/01/1990 20:00,0
06/01/1990 21:00,0
06/01/1990 22:00,0
06/01/1990 23:00,0
07/01/1990 00:00,0
07/01/1990 01:00,0
07/01/1990 02:00,0
07/01/1990 03:00,0
07/01/1990 04:00,0
07/01/1990 05:00,0
07/01/1990 06:00,0
07/01/1990 07:00,0
07/01/1990 08:00,-0.5
07/01/1990 09:00,-0.5
07/01/1990 10:00,122.25
07/01/1990 11:00,297.52
07/01/1990 12:00,311.9
07/01/1990 13:00,3561
07/01/1990 14:00,2131.7
07/01/1990 15:00,53.8
07/01/1990 16:00,0
07/01/1990 17:00,0
07/01/1990 18:00,0
07/01/1990 19:00,0
07/01/1990 20:00,0
07/01/1990 21:00,0
07/01/1990 22:00,0
07/01/1990 23:00,0
08/01/1990 00:00,0
08/01/1990 01:00,0
08/01/1990 02:00,0
08/01/1990 03:00,0
08/01/1990 04:00,0
08/01/1990 05:00,0
08/01/1990 06:00,0
08/01/1990 07:00,0
08/01/1990 08:00,-0.5
08/01/1990 09:00,325.23
08/01/1990 10:00,371.66
08/01/1990 11:00,291.62
08/01/1990 12:00,125.62
08/01/1990 13:00,3376.4
08/01/1990 14:00,2164
08/01/1990 15:00,-0.5
08/01/1990 16:00,0
08/01/1990 17:00,0
08/01/1990 18:00,0
08/01/1990 19:00,0
08/01/1990 20:00,0
08/01/1990 21:00,0
08/01/1990 22:00,0
08/01/1990 23:00,0
09/01/1990 00:00,0
09/01/1990 01:00,0
09/01/1990 02:00,0
09/01/1990 03:00,0
09/01/1990 04:00,0
09/01/1990 05:00,0
09/01/1990 06:00,0
09/01/1990 07:00,0
09/01/1990 08:00,-0.5
09/01/1990 09:00,-0.5
09/01/1990 10:00,377.31
09/01/1990 11:00,462.9
09/01/1990 12:00,487.59
09/01/1990 13:00,3475.6
09/01/1990 14:00,2183.4
09/01/1990 15:00,108.19
09/01/1990 16:00,0
