Date,"Production, KWh"
01/01 00:00,16.67600000001397
01/01 01:00,16.42299999998013
01/01 02:00,15.202000000022041
01/01 03:00,22.340999999968645
01/01 04:00,18.788000000024525
01/01 05:00,23.188000000010245
01/01 06:00,24.04599999997765
01/01 07:00,21.516000000017698
01/01 08:00,25.805999999972062
01/01 09:00,27.03800000002204
01/01 10:00,27.169999999992864
01/01 11:00,25.883000000010867
01/01 12:00,19.8549999999792
01/01 13:00,18.08400000001552
01/01 14:00,17.886000000002173
01/01 15:00,16.895999999998136
01/01 16:00,13.287999999997828
01/01 17:00,14.464999999995966
01/01 18:00,12.837000000005277
01/01 19:00,7.1720000000111765
01/01 20:00,7.4139999999897555
01/01 21:00,8.657000000005278
01/01 22:00,6.390999999970819
01/01 23:00,8.899000000011176
02/01 00:00,13.277000000014281
02/01 01:00,18.370000000000932
02/01 02:00,20.119000000010868
02/01 03:00,23.96899999997144
02/01 04:00,22.901999999995653
02/01 05:00,23.57299999999596
02/01 06:00,23.177000000010864
02/01 07:00,25.773000000010864
02/01 08:00,27.77499999999007
02/01 09:00,27.148000000010864
02/01 10:00,27.159000000010867
02/01 11:00,27.235999999990067
02/01 12:00,27.78600000001087
02/01 13:00,27.73099999997206
02/01 14:00,27.940000000010865
02/01 15:00,27.950999999990064
02/01 16:00,27.7200000000208
02/01 17:00,25.574999999978576
02/01 18:00,27.896000000016453
02/01 19:00,27.951000000010865
02/01 20:00,27.93999999997206
02/01 21:00,27.95100000002887
02/01 22:00,25.948999999968645
02/01 23:00,26.213000000032284
03/01 00:00,26.366999999986337
03/01 01:00,26.609000000001554
03/01 02:00,26.69699999999038
03/01 03:00,26.796000000018
03/01 04:00,26.7629999999792
03/01 05:00,25.74000000002235
03/01 06:00,24.529999999989755
03/01 07:00,17.841999999998446
03/01 08:00,23.243000000001548
03/01 09:00,21.318000000002485
03/01 10:00,17.874999999986652
03/01 11:00,19.920999999995654
03/01 12:00,22.187000000016454
03/01 13:00,26.74100000001086
03/01 14:00,28.126999999990066
03/01 15:00,28.138000000010866
03/01 16:00,28.11599999997206
03/01 17:00,30.458999999990066
03/01 18:00,33.902000000010865
03/01 19:00,35.68400000001086
03/01 20:00,34.63900000001087
03/01 21:00,30.304999999972058
03/01 22:00,29.39200000000776
03/01 23:00,29.480000000010552
04/01 00:00,28.80899999998013
04/01 01:00,27.09300000000621
04/01 02:00,23.727000000008378
04/01 03:00,26.267999999999073
04/01 04:00,26.025999999983856
04/01 05:00,25.432000000033526
04/01 06:00,24.936999999990064
04/01 07:00,25.13500000000124
04/01 08:00,30.580000000010866
04/01 09:00,28.313999999990063
04/01 10:00,24.02400000001087
04/01 11:00,22.97899999997206
04/01 12:00,19.78900000002887
04/01 13:00,19.238999999972062
04/01 14:00,18.667000000010866
04/01 15:00,15.740999999981684
04/01 16:00,20.36100000000745
04/01 17:00,20.679999999990066
04/01 18:00,18.931000000010865
04/01 19:00,17.248000000010865
04/01 20:00,17.676999999990066
04/01 21:00,19.800000000010865
04/01 22:00,24.266000000004656
04/01 23:00,24.463999999990687
05/01 00:00,25.069000000011798
05/01 01:00,24.50800000000093
05/01 02:00,25.77299999998479
05/01 03:00,21.70300000000714
05/01 04:00,20.53700000000155
05/01 05:00,22.81399999998634
05/01 06:00,27.389999999990067
05/01 07:00,30.052000000017074
05/01 08:00,32.868000000016146
05/01 09:00,35.16699999997765
05/01 10:00,29.755000000026076
05/01 11:00,29.413999999966475
05/01 12:00,28.599999999996584
05/01 13:00,25.531000000015833
05/01 14:00,24.783000000001863
05/01 15:00,28.787000000003417
05/01 16:00,27.928999999988203
05/01 17:00,27.522000000009626
05/01 18:00,25.16799999998013
05/01 19:00,28.699000000018003
05/01 20:00,30.788999999991308
05/01 21:00,28.391000000004038
05/01 22:00,28.050000000017075
05/01 23:00,29.039999999981376
06/01 00:00,28.07199999999348
06/01 01:00,25.563999999996895
06/01 02:00,27.841000000023286
06/01 03:00,27.312999999995654
06/01 04:00,31.47099999999969
06/01 05:00,29.314999999984167
06/01 06:00,27.324000000032907
06/01 07:00,22.967999999980133
06/01 08:00,22.627000000004656
06/01 09:00,25.575000000011794
06/01 10:00,21.592999999984787
06/01 11:00,21.086999999985718
06/01 12:00,17.820000000019558
06/01 13:00,21.493999999991928
06/01 14:00,20.371999999985096
06/01 15:00,20.086000000017073
06/01 16:00,19.239000000002175
06/01 17:00,19.954000000013348
06/01 18:00,19.260999999980754
06/01 19:00,14.244999999995656
06/01 20:00,15.620000000022975
06/01 21:00,20.074999999989135
06/01 22:00,17.412999999989136
06/01 23:00,14.82800000000776
07/01 00:00,12.451999999998137
07/01 01:00,10.680999999993482
07/01 02:00,13.057000000023905
07/01 03:00,10.329000000002795
07/01 04:00,11.527999999962438
07/01 05:00,12.980000000001864
07/01 06:00,11.957000000006209
07/01 07:00,6.809000000013039
07/01 08:00,7.799000000012417
07/01 09:00,10.911999999969268
07/01 10:00,11.230999999998138
07/01 11:00,9.064000000008072
07/01 12:00,7.788000000000621
07/01 13:00,8.041000000014902
07/01 14:00,9.54800000000093
07/01 15:00,11.648999999974231
07/01 16:00,13.266000000025457
07/01 17:00,17.379999999982306
07/01 18:00,18.183000000015213
07/01 19:00,19.7890000000149
07/01 20:00,21.361999999996897
07/01 21:00,20.228999999993167
07/01 22:00,18.512999999976717
07/01 23:00,17.050000000015523
08/01 00:00,18.116999999981374
08/01 01:00,18.359000000025766
08/01 02:00,18.391999999991928
08/01 03:00,21.74700000001459
08/01 04:00,21.999999999994102
08/01 05:00,23.71599999998541
08/01 06:00,25.663000000010868
08/01 07:00,26.103000000010866
08/01 08:00,24.837999999990064
08/01 09:00,25.333000000010866
08/01 10:00,26.02599999997206
08/01 11:00,23.716000000010865
08/01 12:00,22.516999999981994
08/01 13:00,22.517000000003723
08/01 14:00,23.265000000028873
08/01 15:00,22.803000000001244
08/01 16:00,20.558999999967714
08/01 17:00,17.666000000024216
08/01 18:00,19.546999999984166
08/01 19:00,18.194000000016764
08/01 20:00,14.915999999982304
08/01 21:00,14.443000000005277
08/01 22:00,14.024999999985098
08/01 23:00,14.751000000004035
09/01 00:00,12.07800000000031
09/01 01:00,12.264999999998446
09/01 02:00,11.924000000010244
09/01 03:00,11.385000000005897
09/01 04:00,10.504999999995034
09/01 05:00,10.845999999988514
09/01 06:00,12.122000000016763
09/01 07:00,15.873000000013038
09/01 08:00,13.837999999969888
09/01 09:00,11.396000000029803
09/01 10:00,9.218000000004034
09/01 11:00,9.459999999995343
09/01 12:00,11.483999999978268
09/01 13:00,12.463000000002173
09/01 14:00,14.366000000024835
09/01 15:00,20.47099999997703
09/01 16:00,28.91900000001583
09/01 17:00,27.060000000004038
09/01 18:00,28.24799999998665
09/01 19:00,28.159999999998135
