S_MW,W_MW,Baseload_MW,DailyAvgProd_MW,DailyErrorPct
0.0,5.0,114.35451993767836,85.35522517123287,-0.2535911547899436
0.0,10.0,228.70903987230497,170.71045034246575,-0.253591154779984
0.0,15.0,343.0635598084574,256.0656755136987,-0.2535911547799837
0.0,20.0,457.4180797476617,341.4209006849315,-0.2535911547849638
0.0,25.0,571.772599684577,426.77612585616436,-0.2535911547849637
0.0,30.0,686.1271196214925,512.1313510273974,-0.2535911547849636
0.0,35.0,800.4816395610778,597.48657619863,-0.2535911547874535
0.0,40.0,914.8361594983751,682.841801369863,-0.25359115478745364
0.0,45.0,1029.1906794356719,768.1970265410957,-0.25359115478745375
0.0,50.0,1143.5451993729687,853.5522517123287,-0.2535911547874536
0.0,55.0,1257.8997193102662,938.9074768835616,-0.253591154787454
0.0,60.0,1372.2542392475625,1024.2627020547948,-0.2535911547874534
0.0,65.0,1486.6087591848595,1109.6179272260274,-0.25359115478745364
0.0,70.0,1600.963279124826,1194.97315239726,-0.2535911547886984
0.0,75.0,1715.3177990623142,1280.3283775684931,-0.25359115478869854
0.0,80.0,1829.672318999802,1365.683602739726,-0.25359115478869865
0.0,85.0,1944.02683893729,1451.0388279109586,-0.2535911547886989
0.0,90.0,2058.381358874777,1536.3940530821915,-0.2535911547886987
0.0,95.0,2172.7358788122656,1621.7492782534248,-0.2535911547886988
0.0,100.0,2287.0903987497522,1707.1045034246574,-0.2535911547886986
0.0,105.0,2401.44491868724,1792.4597285958903,-0.2535911547886986
0.0,110.0,2515.7994386247283,1877.8149537671231,-0.25359115478869887
0.0,115.0,2630.1539585622154,1963.170178938356,-0.2535911547886987
0.0,120.0,2744.5084784997025,2048.5254041095895,-0.2535911547886983
0.0,125.0,2858.862998437191,2133.8806292808217,-0.2535911547886988
0.0,130.0,2973.2175183746785,2219.235854452055,-0.2535911547886987
0.0,135.0,3087.5720383095904,2304.591079623288,-0.253591154788076
0.0,140.0,3201.9265582469816,2389.94630479452,-0.2535911547880759
0.0,145.0,3316.2810781843755,2475.3015299657536,-0.2535911547880761
0.0,150.0,3430.6355981217675,2560.6567551369862,-0.25359115478807615
0.0,155.0,3544.990118059159,2646.011980308219,-0.2535911547880761
0.0,160.0,3659.344637996552,2731.367205479452,-0.25359115478807615
0.0,165.0,3773.699157933944,2816.7224306506855,-0.2535911547880759
0.0,170.0,3888.0536778713376,2902.0776558219172,-0.2535911547880765
0.0,175.0,4002.4081978087297,2987.4328809931503,-0.25359115478807637
0.0,180.0,4116.762717746121,3072.788106164383,-0.25359115478807626
0.0,185.0,4231.117237683513,3158.1433313356165,-0.25359115478807603
0.0,190.0,4345.471757620907,3243.4985565068496,-0.25359115478807626
0.0,195.0,4459.826277558297,3328.8537816780818,-0.2535911547880761
0.0,200.0,4574.18079749569,3414.209006849315,-0.25359115478807615
5.0,0.0,26960.265375000497,6533.549937785388,-0.7576600286789548
5.0,5.0,26922.39054885609,6618.905162956622,-0.7541486833813926
5.0,10.0,26885.902950600022,6704.260388127854,-0.7506403113763291
5.0,15.0,26850.289255298594,6789.615613299086,-0.7471306342832327
5.0,20.0,26816.094352746,6874.97083847032,-0.7436251995523608
5.0,25.0,26784.128943767697,6960.326063641552,-0.7401324464105403
5.0,30.0,26753.82297321641,7045.681288812785,-0.7366476822446532
5.0,35.0,26724.053132930097,7131.036513984019,-0.7331603676091721
5.0,40.0,26695.37444981256,7216.391739155251,-0.7296763245362186
5.0,45.0,26667.56604281295,7301.746964326485,-0.7261937233940274
5.0,50.0,26640.45376178751,7387.102189497717,-0.7227110973577479
5.0,55.0,26614.090745682686,7472.45741466895,-0.7192292802307693
5.0,60.0,26588.54491158564,7557.812639840183,-0.715749294857164
5.0,65.0,26564.08246100224,7643.1678650114145,-0.7122743510440434
5.0,70.0,26540.43131528228,7728.523090182648,-0.7088019030899292
5.0,75.0,26517.174155575638,7813.87831535388,-0.7053276390044415
5.0,80.0,26494.505396552042,7899.233540525112,-0.7018538967874784
5.0,85.0,26472.730893910986,7984.588765696346,-0.6983843942019262
5.0,90.0,26451.410838027507,8069.9439908675795,-0.6949144210007152
5.0,95.0,26431.367982249438,8155.299216038812,-0.6914537597329172
5.0,100.0,26411.846084875775,8240.654441210045,-0.6879940003160592
5.0,105.0,26393.042405103657,8326.009666381278,-0.6845377073780905
5.0,110.0,26374.924908780813,8411.364891552512,-0.6810847833446465
5.0,115.0,26357.562147572877,8496.720116723744,-0.6776363432569518
5.0,120.0,26341.124072150455,8582.075341894977,-0.6741947944822709
5.0,125.0,26325.44529838734,8667.43056706621,-0.6707584442038986
5.0,130.0,26310.327860621343,8752.785792237444,-0.6673250961141485
5.0,135.0,26296.13416348435,8838.141017408676,-0.6638996073543919
5.0,140.0,26282.506352397846,8923.49624257991,-0.6604777290668937
5.0,145.0,26269.383502441262,9008.851467751143,-0.6570588926491582
5.0,150.0,26256.592480563442,9094.206692922375,-0.6536410160741765
5.0,155.0,26244.104064248208,9179.561918093608,-0.6502238409198074
5.0,160.0,26232.338804811814,9264.917143264842,-0.6468131487549492
5.0,165.0,26220.99968676689,9350.272368436072,-0.6434051912538281
5.0,170.0,26210.450951273986,9435.627593607305,-0.6400051410352147
5.0,175.0,26200.18736893264,9520.982818778539,-0.6366063080118189
5.0,180.0,26190.20493533097,9606.33804394977,-0.6332087485504675
5.0,185.0,26180.627689988047,9691.693269121004,-0.6298143274529937
5.0,190.0,26171.496352144855,9777.048494292238,-0.6264237870567546
5.0,195.0,26162.402574897824,9862.40371946347,-0.6230314210925643
